filename,extension,filetype,lake,file_datetime,current_datetime,forecast,url
s202002306.0.wnd,wnd,WINDS,superior,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
s202002306.0.wav,wav,WAVES,superior,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
s202002306.0.swt,swt,SURFACE TEMPS,superior,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
s202002306.0.ice,ice,ICE PARAMS,superior,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
s202002306.0.cur,cur,SURFACE CURRENTS,superior,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
o202002306.0.wnd,wnd,WINDS,ontario,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
o202002306.0.wav,wav,WAVES,ontario,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
o202002306.0.swt,swt,SURFACE TEMPS,ontario,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
o202002306.0.ice,ice,ICE PARAMS,ontario,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
o202002306.0.cur,cur,SURFACE CURRENTS,ontario,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
m202002306.0.wnd,wnd,WINDS,michigan,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
m202002306.0.wav,wav,WAVES,michigan,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
m202002306.0.swt,swt,SURFACE TEMPS,michigan,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
m202002306.0.ice,ice,ICE PARAMS,michigan,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
m202002306.0.cur,cur,SURFACE CURRENTS,michigan,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
h202002306.0.wnd,wnd,WINDS,huron,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
h202002306.0.wav,wav,WAVES,huron,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
h202002306.0.swt,swt,SURFACE TEMPS,huron,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
h202002306.0.ice,ice,ICE PARAMS,huron,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
h202002306.0.cur,cur,SURFACE CURRENTS,huron,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
e202002306.0.wnd,wnd,WINDS,erie,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
e202002306.0.wav,wav,WAVES,erie,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
e202002306.0.swt,swt,SURFACE TEMPS,erie,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
e202002306.0.ice,ice,ICE PARAMS,erie,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
e202002306.0.cur,cur,SURFACE CURRENTS,erie,2020-01-23 06:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
s202002300.0.wnd,wnd,WINDS,superior,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
s202002300.0.wav,wav,WAVES,superior,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
s202002300.0.swt,swt,SURFACE TEMPS,superior,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
s202002300.0.ice,ice,ICE PARAMS,superior,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
s202002300.0.cur,cur,SURFACE CURRENTS,superior,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
o202002300.0.wnd,wnd,WINDS,ontario,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
o202002300.0.wav,wav,WAVES,ontario,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
o202002300.0.swt,swt,SURFACE TEMPS,ontario,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
o202002300.0.ice,ice,ICE PARAMS,ontario,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
o202002300.0.cur,cur,SURFACE CURRENTS,ontario,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
m202002300.0.wnd,wnd,WINDS,michigan,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
m202002300.0.wav,wav,WAVES,michigan,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
m202002300.0.swt,swt,SURFACE TEMPS,michigan,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
m202002300.0.ice,ice,ICE PARAMS,michigan,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
m202002300.0.cur,cur,SURFACE CURRENTS,michigan,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
h202002300.0.wnd,wnd,WINDS,huron,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
h202002300.0.wav,wav,WAVES,huron,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
h202002300.0.swt,swt,SURFACE TEMPS,huron,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
h202002300.0.ice,ice,ICE PARAMS,huron,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
h202002300.0.cur,cur,SURFACE CURRENTS,huron,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
e202002300.0.wnd,wnd,WINDS,erie,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
e202002300.0.wav,wav,WAVES,erie,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
e202002300.0.swt,swt,SURFACE TEMPS,erie,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
e202002300.0.ice,ice,ICE PARAMS,erie,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
e202002300.0.cur,cur,SURFACE CURRENTS,erie,2020-01-23 00:00:00+00:00,2020-01-23 14:12:07.066197+00:00,NCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/NCAST/
